year,month,MAprice
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,6.5
2004,12,12.02
2005,1,0
2005,2,5.5
2005,3,0
2005,4,0
2005,5,95.42
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,0
2006,2,10.6
2006,3,0
2006,4,0
2006,5,0
2006,6,0
2006,7,43.07
2006,8,0
2006,9,0
2006,10,4.3
2006,11,8.0
2006,12,35.0
2007,1,0
2007,2,62.0
2007,3,10.0
2007,4,0
2007,5,1.2
2007,6,19.0
2007,7,3.94
2007,8,4.0
2007,9,0
2007,10,85.27
2007,11,4.0
2007,12,145.83
2008,1,3.4
2008,2,0
2008,3,534.0
2008,4,5.72
2008,5,0
2008,6,0
2008,7,14.6
2008,8,1.4
2008,9,15.26
2008,10,1.56
2008,11,0
2008,12,2.01
2009,1,0
2009,2,12.972999999999999
2009,3,0
2009,4,5.8
2009,5,10.27
2009,6,109.61
2009,7,7.05
2009,8,72.61
2009,9,7.45
2009,10,0
2009,11,62.6
2009,12,4.46
2010,1,0
2010,2,3.0
2010,3,23.439999999999998
2010,4,0
2010,5,38.980000000000004
2010,6,85.27
2010,7,178.82
2010,8,63.5
2010,9,37.56
2010,10,0
2010,11,15.0
2010,12,158.82
2011,1,4.43
2011,2,80.94
2011,3,48.2
2011,4,273.74
2011,5,64.11
2011,6,108.1568
2011,7,171.99
2011,8,1.3
2011,9,29.919999999999998
2011,10,33.09
2011,11,140.24
2011,12,58.79
2012,1,10.746
2012,2,158.64
2012,3,16.46
2012,4,43.419999999999995
2012,5,265.17999999999995
2012,6,225.05
2012,7,19.259999999999998
2012,8,2.7
2012,9,62.83
2012,10,0
2012,11,180.25
2012,12,271.28000000000003
2013,1,75.67
2013,2,30.05
2013,3,334.78000000000003
2013,4,3.9
2013,5,48.85
2013,6,283.65
2013,7,104.24
2013,8,174.26
2013,9,55.25
2013,10,98.184
2013,11,197.72
2013,12,480.25
2014,1,75.5
2014,2,90.02
2014,3,59.7331
2014,4,207.87
2014,5,193.596
2014,6,217.75
2014,7,175.533
2014,8,523.698
2014,9,326.76
2014,10,44.92
2014,11,84.3106
2014,12,273.5795
2015,1,232.24
2015,2,110.372
2015,3,184.98
2015,4,451.48
2015,5,446.436
2015,6,1111.97
2015,7,265.31
2015,8,263.2359
2015,9,355.395
2015,10,176.149
2015,11,1026.75
2015,12,737.743183
2016,1,571.35
2016,2,272.83
2016,3,424.5176
2016,4,445.755
2016,5,188.2695
2016,6,264.18
2016,7,468.93
2016,8,403.363
2016,9,888.8564
2016,10,153.804826
2016,11,442.4098
2016,12,442.4
2017,1,51.8
2017,2,96.43
2017,3,173.02
2017,4,82.34
2017,5,100.21000000000001
2017,6,68.1
2017,7,52.85
2017,8,321.71
2017,9,191.954
2017,10,163.63
2017,11,561.83
2017,12,69.391
2018,1,159.49
2018,2,135.86
2018,3,91.0
2018,4,0
2018,5,682.18
2018,6,653.97
2018,7,270.06
2018,8,203.56
2018,9,480.5
2018,10,12.47
2018,11,122.74
2018,12,103.28
2019,1,238.85
2019,2,82.88000000000001
2019,3,25.259999999999998
2019,4,477.02
2019,5,54.525
2019,6,247.82
2019,7,28.248
2019,8,49.129999999999995
2019,9,124.12
2019,10,61.230000000000004
2019,11,46.589999999999996
2019,12,62.158
